number	key	title	DOI_or_URL
1	gbdStrokeBurden2021	Global, regional, and national burden of stroke and its risk factors, 1990--2019: a systematic analysis for the {Global Burden of Disease Study 2019}	10.1016/S1474-4422(21)00252-0
2	stinearStrokeRehab2020	Advances and challenges in stroke rehabilitation	10.1016/S1474-4422(19)30415-6
3	maierNeurorehabPrinciples2019	Principles of neurorehabilitation after stroke based on motor learning and brain plasticity mechanisms	10.3389/fnsys.2019.00074
4	leeTaskOrientedTraining2024	Effectiveness of activity-based task-oriented training on upper extremity recovery for adults with stroke: A systematic review	10.5014/ajot.2024.050391
5	rozevinkTaskSpecificTraining2023	Effectiveness of task-specific training using assistive devices and task-specific usual care on upper limb performance after stroke: A systematic review and meta-analysis	10.1080/17483107.2021.2001061
6	guadagnoliChallengePoint2004	Challenge point: A framework for conceptualizing the effects of various practice conditions in motor learning	10.3200/JMBR.36.2.212-224
7	gomesTaskChallenge2025	Understanding task `challenge' in stroke rehabilitation: An interdisciplinary concept analysis	10.1080/09638288.2024.2356010
8	mehrholzRobotArmTraining2018	Electromechanical and robot-assisted arm training for improving activities of daily living, arm function, and arm muscle strength after stroke	10.1002/14651858.CD006876.pub5
9	rodgersRATULS2019	Robot assisted training for the upper limb after stroke ({RATULS}): A multicentre randomised controlled trial	10.1016/S0140-6736(19)31055-4
10	suUpperRobotTraining2024	Effect of upper robot-assisted training on upper limb motor, daily life activities, and muscular tone in patients with stroke: A systematic review and meta-analysis	10.1002/brb3.70117
11	boardsworthUpperLimbRobotic2025	Upper limb robotic rehabilitation following stroke: A systematic review and meta-analysis investigating efficacy and the influence of device features and program parameters	10.1186/s12984-025-01662-4
12	wangRobotAssistedNetwork2025	Efficacy of robot-assisted training on upper limb motor function after stroke: A systematic review and network meta-analysis	10.1016/j.arrct.2024.100387
13	aiMachineLearningRehab2023	Machine learning in robot-assisted upper limb rehabilitation: A focused review	10.1109/TCDS.2021.3098350
14	doumasSeriousGames2021	Serious games for upper limb rehabilitation after stroke: A meta-analysis	10.1186/s12984-021-00889-1
15	keneaImmersiveVR2025	Immersive virtual reality in stroke rehabilitation: A systematic review and meta-analysis of its efficacy in upper limb recovery	10.3390/jcm14061783
16	altawilAdaptiveVR2026	Machine learning-based adaptive personalization in virtual reality stroke rehabilitation: A systematic review	10.3389/fresc.2026.1827658
17	arantesAdaptiveAAN2023	Evaluation of a novel real-time adaptive assist-as-needed controller for robot-assisted upper extremity rehabilitation following stroke	10.1371/journal.pone.0292627
18	sittiBiomedicalMicrorobots2015	Biomedical applications of untethered mobile milli/microrobots	10.1109/JPROC.2014.2385105
19	yangMagneticActuation2020	Magnetic actuation systems for miniature robots: A review	10.1002/aisy.202000082
20	miaoSoftMagneticRobots2023	Design, actuation, and functionalization of untethered soft magnetic robots with life-like motions: A review	10.1016/j.jmmm.2023.171160
21	vygotskyMindSociety1978	Mind in Society: The Development of Higher Psychological Processes	https://www.hup.harvard.edu/books/9780674576292
22	hocineSeriousGameAdaptation2015	Adaptation in serious games for upper-limb rehabilitation: An approach to improve training outcomes	10.1007/s11257-015-9154-6
23	shangDynamicDifficulty2025	General purpose haptic/biometric-based dynamic difficulty adjustment for post-stroke upper-limb rehabilitation games	10.1109/ICORR66766.2025.11062998
24	ajaniParetoDDA2023	Pareto-based dynamic difficulty adjustment of a competitive exergame for arm rehabilitation	10.1016/j.ijhcs.2023.103100
25	vitekovaDDAReview2026	Dynamic difficulty adjustment in serious games: A literature review	10.3390/info17010096
26	suttonBartoRL2018	Reinforcement Learning: An Introduction	http://incompleteideas.net/book/the-book-2nd.html
27	koberRLRobotics2013	Reinforcement learning in robotics: A survey	10.1177/0278364913495721
28	schulmanPPO2017	Proximal policy optimization algorithms	https://arxiv.org/abs/1707.06347
